Current_Word,Next_Word,Levenshtein_distance
apple,mac,5
mac,mini,3
mini,gets,4
gets,warm,4
warm,welcome,5
welcome,mac,6
mac,mini,3
mini,welcomed,8
welcomed,apple,7
apple,fans,5
fans,industry,7
industry,experts,7
experts,pc,6
pc,users,5
users,release,5
release,tiny,7
tiny,low-cost,8
low-cost,machine,8
machine,seen,6
seen,good,4
good,move,3
move,apple,4
apple,currently,8
currently,small,8
small,share,3
share,desktop,6
desktop,computer,7
computer,market,6
market,mac,4
mac,watchers,6
watchers,analysts,7
analysts,say,6
say,mac,2
mac,mini,3
mini,go,4
go,long,3
long,way,4
way,help,4
help,apple,4
apple,appeal,3
appeal,mass,6
mass,consumers,7
consumers,speculate,8
speculate,mac,8
mac,mini,3
mini,bought,6
bought,ipod,6
ipod,owners,6
owners,wanting,6
wanting,easy-to-use,9
easy-to-use,administer,10
administer,second,9
second,home,5
home,computer,5
computer,bravest,8
bravest,move,5
move,made,2
made,yet,4
yet,said,4
said,jonny,5
jonny,evans,4
evans,news,4
news,editor,6
editor,macworld,6
macworld,magazine,6
magazine,mr,7
mr,evans,5
evans,said,4
said,combination,9
combination,low,10
low,cost,3
cost,small,5
small,size,4
size,huge,3
huge,numbers,5
numbers,ipod,7
ipod,users,5
users,could,5
could,make,5
make,big,4
big,success,7
success,thought,7
thought,machine,7
machine,would,7
would,appeal,6
appeal,like,5
like,apple,4
apple,technology,9
technology,balked,9
balked,paying,5
paying,high,5
high,prices,5
prices,hardware,7
hardware,deeply,8
deeply,affordable,9
affordable,said,9
said,plus,4
plus,know,4
know,get,4
get,viruses,6
viruses,associated,9
associated,problems,9
problems,already,8
already,said,6
said,pc,4
pc,owning,6
owning,friends,6
friends,declared,8
declared,would,6
would,buying,6
buying,one,5
one,interest,6
interest,new,6
new,products,8
products,launched,8
launched,macworld,6
macworld,expo,7
expo,strong,5
strong,websites,8
websites,apples,6
apples,store,5
store,show,3
show,struggled,8
struggled,cope,8
cope,demand,6
demand,according,8
according,response,9
response,statistics,9
statistics,gathered,8
gathered,netcraft,7
netcraft,many,7
many,visiting,7
visiting,apple,8
apple,store,4
store,wake,4
wake,mr,4
mr,jobs,4
jobs,speech,6
speech,suffered,6
suffered,lengthy,8
lengthy,response,7
response,times,7
times,macworld,8
macworld,expo,7
expo,site,4
site,completely,8
completely,overwhelmed,9
overwhelmed,went,9
went,offline,6
offline,think,5
think,fundamentally,12
fundamentally,good,12
good,idea,4
idea,cheap,3
cheap,even,4
even,pc,4
pc,said,4
said,nick,4
nick,ross,4
ross,deputy,6
deputy,labs,6
labs,editor,6
editor,pc,6
pc,pro,2
pro,apples,5
apples,work,6
work,making,6
making,things,4
things,easy,6
easy,use,3
use,would,4
would,also,5
also,help,4
help,mac,4
mac,mini,3
mini,win,2
win,fans,3
fans,said,3
said,think,4
think,people,6
people,expect,5
expect,work,6
work,really,6
really,hesaid,5
hesaid,mac,5
mac,mini,3
mini,could,5
could,find,4
find,role,4
role,homes,3
homes,need,4
need,second,4
second,computer,8
computer,easy,8
easy,install,6
install,administer,7
administer,said,9
said,browsing,7
browsing,web,7
web,e-mail,6
e-mail,kinds,6
kinds,basic,5
basic,duties,5
duties,going,5
going,absolutely,9
absolutely,adequate,7
adequate,said,7
said,mr,4
mr,ross,4
ross,ian,4
ian,fogg,4
fogg,broadband,8
broadband,personal,8
personal,technology,8
technology,analyst,8
analyst,jupiter,7
jupiter,research,8
research,agreed,7
agreed,mac,6
mac,mini,3
mini,could,5
could,popular,4
popular,apple,5
apple,hoping,5
hoping,sales,6
sales,ipod,5
ipod,halo,4
halo,effect,6
effect,sales,5
sales,mac,4
mac,said,3
said,said,0
said,apple,5
apple,seen,5
seen,premium,6
premium,brand,6
brand,said,3
said,mac,3
mac,mini,3
mini,changed,6
changed,perception,9
perception,particularly,9
particularly,good,12
good,price,5
price,see,4
see,apple,4
apple,said,5
said,apple,5
apple,expects,6
expects,mac,6
mac,mini,3
mini,sell,4
sell,Â£339,4
Â£339,uk,4
uk,499,3
499,us,3
us,adding,6
adding,extras,6
extras,larger,6
larger,hard,4
hard,drive,5
drive,memory,6
memory,networking,7
networking,options,7
options,increase,7
increase,basic,7
basic,price,4
price,go,5
go,sale,4
sale,22,4
22,january,7
january,consumers,6
consumers,interested,9
interested,style,8
style,design,6
design,small,6
small,size,4
size,-,4
-,majority,8
majority,ipod,7
ipod,customers,8
customers,interested,9
interested,-,10
-,natural,7
natural,next,6
next,step,4
step,said,3
said,mr,4
mr,fogg,4
fogg,apple,5
apple,traditionally,11
traditionally,done,10
done,well,4
well,market,6
market,mac,4
mac,mini,3
mini,aimed,4
aimed,said,3
said,mr,4
mr,fogg,4
fogg,also,4
also,expected,8
expected,many,8
many,pc,4
pc,makers,6
makers,release,5
release,copycat,7
copycat,devices,6
devices,reaction,7
reaction,misgivings,9
misgivings,easy,9
easy,consumers,8
consumers,ipod,9
ipod,owners,6
owners,would,5
would,find,4
find,using,3
using,machine,5
machine,said,5
said,anyone,6
anyone,wanting,4
wanting,use,7
use,mac,3
mac,mini,3
mini,peripherals,10
peripherals,old,10
old,computer,7
computer,may,7
may,find,4
find,odd,3
odd,something,8
something,small,7
small,sleek,4
sleek,next,4
next,hulking,7
hulking,monitor,7
monitor,theyd,7
theyd,much,5
much,likely,6
likely,pair,6
pair,mac,3
mac,mini,3
mini,lcd,4
lcd,flat,3
flat,panel,5
panel,monitor,6
monitor,increases,9
increases,upgrade,6
upgrade,cost,7
cost,said,4
said,flat,4
flat,screens,7
screens,lcd,6
lcd,monitors,8
monitors,likely,7
likely,bought,6
